date,action,price,qty,fee
2016-09-07,BUY,2.819817,50499.31477596104,42.71964788808184
2016-09-12,SELL,2.74725,50499.31477596104,41.62027275547769
2016-10-11,BUY,2.7747719999999996,49968.43954653653,41.59530808122666
2016-12-06,SELL,2.929068,49968.43954653653,43.908287185708396
2016-12-12,BUY,2.9679649999999995,49283.9932574658,43.88195011451834
2016-12-13,SELL,2.859138,49283.9932574658,42.27292137424927
2017-01-05,BUY,2.8378349999999997,49624.173860552764,42.24756522826851
2017-01-12,SELL,2.793204,49624.173860552764,41.58313227719742
2017-01-19,BUY,2.8017989999999995,49442.268914306034,41.55818988055011
2017-03-06,SELL,2.8861109999999996,49442.268914306034,42.808762853561
2017-03-07,BUY,2.9069039999999995,49059.16546620874,42.7830852991152
2017-03-10,SELL,2.878119,49059.16546620874,42.35943487573176
2017-03-14,BUY,2.9239209999999995,48261.70843559942,42.33402683721788
2017-03-20,SELL,2.9020949999999996,48261.70843559942,42.01801882272326
2017-03-22,BUY,2.9189159999999994,47954.80647884893,41.99281557240473
2017-03-23,SELL,2.912085,47954.80647884893,41.89454178748763
2017-03-24,BUY,2.9259229999999996,47699.3785108392,41.869412601171035
2017-03-31,SELL,2.891106,47699.3785108392,41.371187822687475
2017-04-05,BUY,2.9419389999999996,46847.076655423865,41.346372554574295
2017-04-18,SELL,2.9300669999999998,46847.076655423865,41.17952200635834
2017-05-17,BUY,2.8978949999999997,47338.75416839403,41.15482170324545
2017-05-19,SELL,2.85714,47338.75416839403,40.57603442540559
2017-05-22,BUY,2.8708679999999998,47084.12938322267,40.551696106246105
2017-08-07,SELL,3.2137830000000003,47084.12938322267,45.39545237448045
2017-08-08,BUY,3.252249,46499.33350919787,45.368223271786576
2017-08-11,SELL,3.209787,46499.33350919787,44.77588686194631
2017-08-18,BUY,3.235232,46105.945814778876,44.7490293870716
2017-09-25,SELL,3.3506460000000002,46105.945814778876,46.345410876151675
2017-10-09,BUY,3.4404369999999993,44875.706166879434,46.31761196929804
2017-11-28,SELL,3.5424539999999998,44875.706166879434,47.69103744410601
2017-12-12,BUY,3.5925889999999994,44222.918720966736,47.662431403451734
2017-12-13,SELL,3.524472,44222.918720966736,46.758731637096915
2017-12-22,BUY,3.5865829999999996,43431.01759359084,46.73068481216213
2017-12-28,SELL,3.492504,43431.01759359084,45.504900800905915
2018-01-02,BUY,3.5545509999999996,42647.30486715107,45.477606048851
2018-02-02,SELL,3.717279,42647.30486715107,47.55957923677753
2018-03-07,BUY,3.5845809999999996,44199.54247315775,47.53105204739228
2018-03-08,SELL,3.549447,44199.54247315775,47.0651800298167
2018-03-09,BUY,3.6025989999999997,43521.31094892925,47.03694939099046
2018-03-22,SELL,3.5634330000000003,43521.31094892925,46.525582691602736
2018-05-08,BUY,3.3493459999999997,46275.3780529901,46.49767571408105
2018-05-25,SELL,3.32667,46275.3780529901,46.18287357226217
2018-06-13,BUY,3.3363329999999998,46113.67446289378,46.15517215854293
2018-06-14,SELL,3.2927039999999996,46113.67446289378,45.55160410760045
2018-07-16,BUY,3.0450419999999996,49834.32230925505,45.52428134196557
2018-07-18,SELL,3.0099869999999997,49834.32230925505,45.0001986914003
2018-07-23,BUY,3.0440409999999996,49247.26339077118,44.973206669791935
2018-08-02,SELL,2.9920050000000002,49247.26339077118,44.20441749045129
2018-08-28,BUY,2.9879849999999997,49283.94084348466,44.17790279436585
2018-09-03,SELL,2.894103,49283.94084348466,42.789840314085446
2018-09-05,BUY,2.9239209999999995,48752.08565228941,42.76417410975831
2018-09-06,SELL,2.859138,48752.08565228941,41.81668220031463
2018-09-20,BUY,2.8938909999999995,48137.72612230363,41.7915997157398
2018-10-09,SELL,2.856141,48137.72612230363,41.24643996740472
2018-10-23,BUY,2.863861,47979.166965571814,41.22169952555683
2018-10-24,SELL,2.744253,47979.166965571814,39.5000918648314
2018-11-05,BUY,2.8538509999999997,46108.9231329838,39.476398917596676
2018-11-12,SELL,2.728269,46108.9231329838,37.73926368213077
2018-11-13,BUY,2.7417389999999995,45854.87156746339,37.71662691495165
2018-11-26,SELL,2.701296,45854.87156746339,37.160274343710775
2018-12-04,BUY,2.827825,43776.85425600698,37.13798486594788
2018-12-07,SELL,2.752245,43776.85425600698,36.145388472547175
2018-12-14,BUY,2.7867839999999995,43208.35742763261,36.1237077436823
2018-12-17,SELL,2.7292680000000002,43208.35742763261,35.37815617794
2019-01-10,BUY,2.6426399999999997,44597.99752065044,35.35693565039149
2019-03-26,SELL,3.314682,44597.99752065044,44.34845388532339
